住所,区,地域,ジャンル,店舗名,取扱商品,カテゴリ,カテゴリ(麺類),カテゴリ(薬局),カテゴリ(衣服),カテゴリ(洋菓子)
新潟県新潟市北区葛塚,北区,葛塚,スポーツ、アウトドア用品、車、バイク,車検のコバック豊栄店,自動車整備,買 う,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,スポーツ、アウトドア用品、車、バイク,堀モータース,自動車販売、修理、保険,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,その他,小柳善三郎商店,衣料、ギフト,買 う,0,0,0,0
新潟県新潟市北区かぶとやま,北区,かぶとやま,その他,靴のかまた豊栄店,靴の販売,買 う,0,0,0,0
新潟県新潟市北区松浜東町,北区,松浜東町,その他,此村石油,燃料,買 う,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,その他,とよさき時計店,時計・メガネ・宝飾,買 う,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,その他,ナルミ化粧品店,カシー化粧品、エステ、マハロ水,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,その他,白新堂,印章、ゴム印、印版関連商品,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,その他,花屋商店,灯油・軽油・包装資材・消火器販売,買 う,0,0,0,0
新潟県新潟市北区川西,北区,川西,その他,松浜モーター商会,自動車整備・販売,買 う,0,0,0,0
新潟県新潟市北区柳原,北区,柳原,その他,メガネのいおか豊栄店,メガネ・補聴器・時計修理,買 う,0,0,0,0
新潟県新潟市北区下大谷内,北区,下大谷内,旅行、宿泊,フリーウェイツアー,個人旅行・団体旅行・全般,楽しむ,0,0,0,0
新潟県新潟市北区東栄町,北区,東栄町,温泉、銭湯、リラクゼーション,ソフト整体高橋,タイ式ソフト整体,楽しむ,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,スポーツ、趣味、写真、写真館,いからし印刷,印刷,楽しむ,0,0,0,0
新潟県新潟市北区松浜東町,北区,松浜東町,和食、寿司、割烹,海鮮家さぶ郎,海鮮居酒屋,食べる,0,0,0,0
新潟県新潟市北区内島見,北区,内島見,和食、寿司、割烹,割烹 渡なべ,会席料理・仕出し料理,食べる,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,和食、寿司、割烹,キッチンいさみ,和定食・洋食,食べる,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,和食、寿司、割烹,鮨・割烹いじま,鮨・料理,食べる,0,0,0,0
新潟県新潟市北区松浜東町,北区,松浜東町,和食、寿司、割烹,鮨・割烹いとう,鮨・割烹,食べる,0,0,0,0
新潟県新潟市北区早通北,北区,早通北,和食、寿司、割烹,竹徳,寿司,食べる,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,和食、寿司、割烹,鳥安,半身唐揚げ,食べる,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,和食、寿司、割烹,中常楼,和食料理・オードブル,食べる,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,和食、寿司、割烹,美味新撰旬彩まる田,刺身・にぎり寿司・コース料理,食べる,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,和食、寿司、割烹,町北幸,各種宴会・ランチ・テイクアウト,食べる,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,和食、寿司、割烹,和食堂みやじま,和食,食べる,0,0,0,0
新潟県新潟市北区松浜東町,北区,松浜東町,和食、寿司、割烹,和風れすとらん奥次郎,季節を味わえる和風れすとらん,食べる,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,洋食、イタリアン、フレンチ,カジュアルレストランMOKA,ラーメン・定食,食べる,1,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,洋食、イタリアン、フレンチ,トラットリア ノラ・クチーナ豊栄本店,イタリア料理,食べる,0,0,0,0
新潟県新潟市北区柳原,北区,柳原,洋食、イタリアン、フレンチ,Pancia  Guancia,パスタ,食べる,1,0,0,0
新潟県新潟市北区新崎,北区,新崎,洋食、イタリアン、フレンチ,ラ・トラットリア・エストルト,イタリアンレストラン,食べる,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,洋食、イタリアン、フレンチ,レストランル・タン,欧風料理とケーキのお店,食べる,0,0,0,1
新潟県新潟市北区白新町,北区,白新町,中華、ラーメン,円来,中華料理・ラーメン類・アルコール類,食べる,1,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,中華、ラーメン,三宝亭豊栄店,ラーメン専門店,食べる,1,0,0,0
